# SFHo_cold_beta_1D.d converted to units with G=c=Msun=1
# 
# T = 0.1
# Ye at beta equilibrium 
# 
# 
# 
# 
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.9984479760119389e-08 1.8790457791943993e-03 1.7835462059028737e-11
2.0558202491080152e-08 1.9040836923307491e-03 1.8506379952982101e-11
2.1148395892079458e-08 1.9293002079545651e-03 1.9202343050458629e-11
2.1755532809941903e-08 1.9546920984989669e-03 1.9924218152860437e-11
2.2380099666174725e-08 1.9803403227971472e-03 2.0673488836011501e-11
2.3022596846675520e-08 2.0061980603400809e-03 2.1450814230509493e-11
2.3683539102627661e-08 2.0322212086392177e-03 2.2256868212183360e-11
2.4363455962904954e-08 2.0584915168877504e-03 2.3093276962183680e-11
2.5062892158315652e-08 2.0850038364046419e-03 2.3961088217842614e-11
2.5782408058025919e-08 2.1116803711189736e-03 2.4860795027236911e-11
2.6522580118512278e-08 2.1385870660439732e-03 2.5794039625235375e-11
2.7284001345402773e-08 2.1657616151233849e-03 2.6762314488039041e-11
2.8067281768576920e-08 2.1931112062971714e-03 2.7766042341200704e-11
2.8873048930904944e-08 2.2206705163982932e-03 2.8806727168375621e-11
2.9701948391017957e-08 2.2485109203000953e-03 2.9886266551670063e-11
3.0554644240511952e-08 2.2765491114160596e-03 3.1005194212974764e-11
3.1431819635999756e-08 2.3047773672024707e-03 3.2164707764869703e-11
3.2334177346437558e-08 2.3332850097510516e-03 3.3366960135317307e-11
3.3262440316164065e-08 2.3620212274237939e-03 3.4612766578245316e-11
3.4217352244103839e-08 2.3909326782740603e-03 3.5902838787088348e-11
3.5199678179598501e-08 2.4201078445926782e-03 3.7239273074078405e-11
3.6210205135343411e-08 2.4495420810133339e-03 3.8623124848761217e-11
3.7249742717920671e-08 2.4791448181571418e-03 4.0054290112940806e-11
3.8319123776433820e-08 2.5089845749868278e-03 4.1533975417048869e-11
3.9419205069763804e-08 2.5391022348393300e-03 4.3062363628973492e-11
4.0550867952980739e-08 2.5693901570804645e-03 4.4636342686702774e-11
4.1715019083461527e-08 2.5998785590826134e-03 4.6248556308583316e-11
4.2912591147278939e-08 2.6306497395647277e-03 4.7877470446857049e-11
4.4144543606444309e-08 2.6617454304225241e-03 4.9413580373689336e-11
4.5411863467602119e-08 2.6954338028233327e-03 5.0435941599904712e-11
4.6715566072792887e-08 2.7275436481528637e-03 5.2141610876700199e-11
4.8056695912917417e-08 2.7595044922301692e-03 5.3986461183115930e-11
4.9436327464554302e-08 2.7915457566727309e-03 5.5921466476475548e-11
5.0855566050801360e-08 2.8237982847689747e-03 5.7939963242925382e-11
5.2315548726830083e-08 2.8562772316342855e-03 6.0040043980163634e-11
5.3817445190863361e-08 2.8888915521305680e-03 6.2220340896310302e-11
5.5362458721305567e-08 2.9217224000739339e-03 6.4482689753817797e-11
5.6951827140776519e-08 2.9548236264713701e-03 6.6829042226298230e-11
